VIDEO,IMAGE,GROUND_TRUTH_SIZE,ESTIMATED_SIZE
vid40,2135.jpg,24.1,21.86564837145624
vid40,2137.jpg,24.3,22.78133439274917
vid40,2139.jpg,24.4,23.349404750162783
vid40,2141.jpg,24.9,22.545524450616412
vid40,2143.jpg,24.2,20.410187455516876
vid40,2145.jpg,23.8,20.278507102339248
vid40,2147.jpg,23.8,21.055218240680485
vid40,2149.jpg,24.5,19.91187256683875
vid40,2151.jpg,23.5,20.006266493427376
vid40,2181.jpg,24.0,18.70599531192342
vid40,2183.jpg,24.0,21.403134438054757
vid40,2201.jpg,22.5,19.385860159172065
vid40,2203.jpg,21.8,18.518810298044382
vid40,2205.jpg,23.2,18.65362263030955
vid40,2207.jpg,22.9,21.522150673712318
vid40,2209.jpg,22.7,20.681188579587754
vid40,2211.jpg,22.6,20.842898447938435
vid40,2213.jpg,22.8,19.494608054540326
vid40,2215.jpg,22.0,19.793875223804594
vid40,2217.jpg,22.4,19.037064368876585
vid40,2219.jpg,23.3,19.766935942469164
vid40,2245.jpg,23.7,16.33987169414622
vid40,2247.jpg,23.8,15.695427654058726
vid40,2265.jpg,21.9,14.613021118666092
vid40,2267.jpg,22.6,17.39683153582833
vid40,2269.jpg,21.5,18.6264213916434
vid40,2271.jpg,21.0,19.004152304658344
vid40,2273.jpg,20.8,20.916944437516825
vid40,2275.jpg,21.0,18.514304803007445
vid40,2277.jpg,20.2,18.07958953908051
vid40,2279.jpg,19.3,15.60218470008871
vid40,2395.jpg,9.5,8.865297832483245
vid40,2397.jpg,11.4,9.149643194872802
vid40,2399.jpg,10.7,10.129985979738386
vid40,2401.jpg,10.9,12.602154916872273
vid40,2403.jpg,12.2,11.40647755284682
vid40,2553.jpg,9.5,8.122955751510192
vid40,2595.jpg,7.2,8.465524154613197
vid40,2597.jpg,7.7,8.341706996759337
vid40,2599.jpg,7.2,6.651896072522918
vid40,2601.jpg,7.7,7.193810233478964
vid40,2603.jpg,7.5,9.37295412055763
vid40,2605.jpg,6.9,7.1645363857438955
vid40,2621.jpg,7.4,6.481840653505264
vid40,2623.jpg,6.9,8.563231578243679
vid40,2625.jpg,7.7,9.183173303385862
vid40,2627.jpg,7.8,7.134106050225436
vid40,3423.jpg,5.8,6.363814895992049
vid40,3425.jpg,6.2,6.272146782125213
vid40,3427.jpg,6.6,4.967383811128529
vid40,3429.jpg,6.1,6.239618676250007
vid40,3431.jpg,5.6,6.8504420794720104
vid40,3433.jpg,5.9,4.629263142868331
vid40,3435.jpg,6.1,4.566619337108725
vid40,3437.jpg,5.8,4.108174265770109
vid40,3999.jpg,23.9,18.91071626158036
vid40,4001.jpg,25.4,21.98675955429202
vid40,4003.jpg,24.5,21.245974554413912
vid40,4005.jpg,16.7,14.513201467679721
vid40,4007.jpg,17.5,17.543520847621462
vid40,4009.jpg,17.9,19.056723443461983
vid40,4027.jpg,21.1,24.081779709070325
vid40,4029.jpg,21.4,22.554954340624285
vid40,4031.jpg,21.4,21.32456821418305
vid40,4033.jpg,21.4,21.741778811504922
vid40,4035.jpg,21.4,21.575815192761173
vid40,4037.jpg,21.3,18.575926952515097
vid40,4039.jpg,21.1,20.033227308432544
vid40,4041.jpg,21.1,19.321785705822737
vid40,4043.jpg,20.9,20.983166090840363
vid40,4045.jpg,20.4,16.706292439306367
vid40,4047.jpg,19.9,16.3975279244521
vid40,4049.jpg,19.5,19.608620420627517
vid40,4051.jpg,18.9,19.11908968230714
vid40,4053.jpg,18.1,18.624053676004394
vid40,4071.jpg,19.8,20.349789114967976
vid40,4073.jpg,19.8,20.784843487234006
vid40,4075.jpg,20.1,20.13521208778044
vid40,4077.jpg,20.7,18.265784313287476
vid40,4079.jpg,19.8,19.64597646261285
vid40,4081.jpg,19.4,21.372350934833626
vid40,4083.jpg,20.5,22.161539361977137
vid40,4085.jpg,20.2,20.39759376899734
vid40,4087.jpg,20.5,19.92286715010102
vid40,4089.jpg,20.4,20.09426446673128
vid40,4091.jpg,20.4,20.085377883235477
vid40,4093.jpg,20.4,19.687380523879487
vid40,4095.jpg,20.6,19.550308059137883
vid40,4097.jpg,20.5,17.366313488462833
vid40,4099.jpg,20.4,19.8520749855193
vid40,4101.jpg,20.6,19.642680400629537
vid40,4103.jpg,20.4,18.12192665019283
vid40,4105.jpg,20.6,18.866337536167983
vid40,4107.jpg,20.9,19.085696775370323
vid40,4109.jpg,20.6,19.079787140677734
vid40,4111.jpg,20.5,19.026423879650775
vid40,4113.jpg,20.4,18.67634903474994
vid40,4115.jpg,20.4,17.397702827933355
vid40,4117.jpg,20.4,16.728997859683492
vid40,4119.jpg,20.0,16.84184651747778
vid40,4121.jpg,20.7,19.676787184845665
vid40,4123.jpg,19.7,19.378754195293208
vid40,4125.jpg,19.9,20.092946873641772
vid40,4127.jpg,19.5,18.794539815566395
vid40,4129.jpg,19.2,14.635432078449853
vid40,4131.jpg,19.0,14.509693882158121
vid40,4133.jpg,19.0,17.088089835442958
vid40,4135.jpg,18.5,16.9119485034144
vid40,4137.jpg,17.8,17.30116698731961
vid40,4139.jpg,17.7,17.947006685271447
vid40,4141.jpg,17.5,15.62336146416433
vid40,4143.jpg,17.4,15.081415707946464
vid40,4145.jpg,17.1,13.619509290914145
vid40,4147.jpg,15.5,15.327700881997064
vid40,4149.jpg,15.4,15.035336935826633
vid40,4151.jpg,15.0,12.102397572605543
vid40,4153.jpg,14.4,15.049312382010747
vid40,4155.jpg,14.3,15.116580179143398
vid40,4157.jpg,14.5,13.9760237603738
vid40,4159.jpg,14.8,13.249877974454725
vid40,4161.jpg,15.0,14.062592812365288
vid40,4163.jpg,15.3,13.18323741347106
vid40,4165.jpg,15.9,15.607684712597719
vid40,4167.jpg,18.0,16.27157675008693
vid40,4169.jpg,18.2,16.817283877769327
vid40,4171.jpg,19.2,15.3584100361345
vid40,4173.jpg,19.6,15.611619798626526
vid40,4175.jpg,20.2,16.778311671528428
vid40,4177.jpg,20.8,16.58967964359909
vid40,4179.jpg,20.9,16.778598117648148
vid40,4181.jpg,20.8,17.08042356849451
vid40,4207.jpg,19.5,16.459241478499592
vid40,4209.jpg,18.7,16.170302317779544
vid40,4211.jpg,18.0,15.340718461274381
vid40,4213.jpg,15.7,13.425983068027033
vid40,4215.jpg,15.2,13.17966002056506
vid40,4217.jpg,14.5,12.3959967324953
vid40,4219.jpg,14.0,11.788619345281637
vid40,4221.jpg,14.1,11.53474692992158
vid40,4223.jpg,14.2,13.734548428586281
vid40,4225.jpg,14.2,12.9390884065323
vid40,4227.jpg,14.0,13.757923021699856
vid40,4229.jpg,14.2,13.42672691009758
vid40,4231.jpg,14.4,13.746368571102012
vid40,4237.jpg,14.5,14.464136626889657
vid40,4239.jpg,14.1,14.40282626092838
vid40,4241.jpg,14.4,13.776485628158984
vid40,4243.jpg,14.9,12.348994178474694
vid40,4245.jpg,14.9,13.585491075457202
vid40,4247.jpg,16.0,13.220751126655045
vid40,4249.jpg,16.1,13.521887637063388
vid40,4295.jpg,24.1,30.210994737891713
vid40,4297.jpg,23.7,27.578983906867137
vid40,4299.jpg,23.2,27.602778409540008
vid40,4301.jpg,22.9,30.069501602052075
vid40,4303.jpg,22.2,20.393209986988214
vid40,4541.jpg,19.5,18.358121238119516
vid40,4543.jpg,19.4,23.473986921155262
vid40,4545.jpg,19.8,23.066091379914184
vid40,4547.jpg,19.6,17.00573407036949
vid40,4549.jpg,19.5,18.702899562454455
vid40,4551.jpg,19.0,19.70596782475793
vid40,4553.jpg,19.9,19.951992846873896
vid40,4555.jpg,19.1,18.70986124097364
vid40,4557.jpg,18.7,18.043267766351413
vid40,4559.jpg,18.9,15.474757760973494
vid40,4561.jpg,18.3,16.222433897678293
vid40,4563.jpg,17.7,15.678122426206919
vid40,4641.jpg,18.0,16.056629252089675
vid40,4643.jpg,17.8,13.290236151584715
vid40,4645.jpg,17.8,16.472557188958277
vid40,4647.jpg,17.1,16.211887868942565
vid40,4649.jpg,15.5,13.45678383339428
vid40,4651.jpg,18.3,15.88471196825367
vid40,4653.jpg,16.5,14.592067942642785
vid40,4655.jpg,15.8,14.336425192259213
vid40,4657.jpg,15.4,12.313405861878298
vid40,4659.jpg,15.5,11.326222590610588
vid40,4661.jpg,14.4,12.875956291891569
vid40,4663.jpg,15.2,12.826919800640137
vid40,4665.jpg,14.4,12.351776165592973
vid40,4667.jpg,13.2,13.095735381195812
vid40,4669.jpg,13.7,11.33824803166448
vid40,4671.jpg,12.9,10.538703043697296
vid41,0143.jpg,20.3,19.10694243991291
vid41,0145.jpg,21.1,21.016973737575306
vid41,0147.jpg,20.9,23.255647895066005
vid41,0149.jpg,22.9,24.28362571819688
vid41,0151.jpg,23.2,24.147315021492922
vid41,0153.jpg,23.6,24.438407514059687
vid41,0155.jpg,23.6,23.1868141236091
vid41,0157.jpg,23.6,20.61169644494703
vid41,0159.jpg,23.7,20.617767296984155
vid41,0161.jpg,23.6,24.414684625168178
vid41,0163.jpg,23.5,23.894796285792577
vid41,0165.jpg,23.5,23.307810959026934
vid41,0167.jpg,23.4,24.228766944450506
vid41,0169.jpg,23.6,23.40135462142897
vid41,0171.jpg,23.4,23.541037694496776
vid41,0173.jpg,23.4,24.511067158640323
vid41,0175.jpg,23.6,23.15971240881005
vid41,0177.jpg,23.6,22.51067978598818
vid41,0179.jpg,23.7,22.511113973513687
vid41,0181.jpg,23.5,23.29424008569639
vid41,0183.jpg,23.3,22.166495524218806
vid41,0185.jpg,23.0,22.23639652698678
vid41,0187.jpg,22.8,21.207528125667285
vid41,0189.jpg,22.3,21.206438696772448
vid41,0191.jpg,22.0,21.795571866320763
vid41,0193.jpg,21.3,21.985809022248198
vid41,0195.jpg,21.3,21.67292060656491
vid41,0197.jpg,20.9,18.088401648377346
vid41,0199.jpg,20.7,20.13165258851047
vid41,0201.jpg,19.3,19.296346168090395
vid41,0203.jpg,20.3,17.45645337155371
vid41,0205.jpg,19.6,19.692687000411436
vid41,0207.jpg,20.1,20.064084462883525
vid41,0209.jpg,19.5,19.479443794581368
vid41,0211.jpg,18.2,15.477059173036746
vid41,0213.jpg,17.8,13.829735475143321
vid41,0215.jpg,19.1,18.13456181946862
vid41,0217.jpg,19.2,16.636779520954768
vid41,0219.jpg,19.3,16.970116333563222
vid41,0221.jpg,20.2,15.942914837074525
vid41,0223.jpg,20.6,19.608394339967585
vid41,0225.jpg,20.9,19.669254007606124
vid41,0227.jpg,20.8,19.892341394854714
vid41,0229.jpg,21.1,17.69286694414985
vid41,0231.jpg,21.0,17.199470887393407
vid41,0233.jpg,21.2,18.443445361575293
vid41,0235.jpg,20.8,18.871153528784717
vid41,0237.jpg,20.3,18.58396430024556
vid41,0239.jpg,20.2,21.88758648343748
vid41,0241.jpg,19.6,18.822761917331846
vid41,0243.jpg,19.4,17.945138054922275
vid41,0245.jpg,17.9,15.479804229983934
vid41,0277.jpg,18.4,17.84768706599305
vid41,0279.jpg,18.5,19.84224076856806
vid41,0281.jpg,19.5,17.978949078650064
vid41,0283.jpg,19.7,19.053531123261735
vid41,0285.jpg,20.5,19.495261868054744
vid41,0287.jpg,21.1,19.992881782568844
vid41,0289.jpg,21.3,17.96081889529274
vid41,0291.jpg,21.9,18.387051213700108
vid41,0293.jpg,22.0,20.346617351392805
vid41,0295.jpg,22.0,20.495010905926843
vid41,0297.jpg,22.1,20.37398079075053
vid41,0299.jpg,22.3,19.744819915973345
vid41,0301.jpg,22.2,19.84370631854949
vid41,0303.jpg,22.0,20.173610473939945
vid41,0305.jpg,22.3,20.125218167059096
vid41,0307.jpg,22.0,19.643083079347644
vid41,0309.jpg,21.9,20.05415662938127
vid41,0311.jpg,22.1,19.72905106827401
vid41,0313.jpg,22.1,19.929784448475235
vid41,0315.jpg,22.4,19.918026078328886
vid41,0325.jpg,24.0,20.576926218114984
vid41,0337.jpg,21.6,19.867793352959218
vid41,0339.jpg,17.0,15.096800597089324
vid41,0341.jpg,15.7,24.73613012957189
vid41,0369.jpg,19.5,16.720633196672516
vid41,0371.jpg,20.2,17.97313300489181
vid41,0373.jpg,22.1,21.132394790192475
vid41,0385.jpg,54.1,32.691407421091114
vid41,0387.jpg,50.1,32.09499688714374
vid41,0389.jpg,39.1,33.071210875300096
vid41,0391.jpg,25.6,24.286020496785753
vid41,0393.jpg,26.3,24.21530402369499
vid41,0395.jpg,27.8,31.717397749241307
vid41,0397.jpg,27.5,32.17755560566848
vid41,0399.jpg,27.6,32.52230844099266
vid41,0401.jpg,28.3,28.88314551383864
vid41,0403.jpg,28.1,26.781051206755695
vid41,0405.jpg,28.0,27.33019645626144
vid41,0407.jpg,28.9,27.823993111693916
vid41,0409.jpg,29.0,32.008253503058285
vid41,0411.jpg,28.8,31.985959889422627
vid41,0413.jpg,28.4,34.3460446039236
vid41,0415.jpg,28.5,31.90807859864544
vid41,0417.jpg,29.2,32.62385489759539
vid41,0419.jpg,28.9,28.07497699172211
vid41,0421.jpg,29.2,27.482890572624726
vid41,0423.jpg,29.1,27.2338725061931
vid41,0425.jpg,28.9,24.296531549579047
vid41,0427.jpg,29.2,34.40675036920529
vid41,0429.jpg,29.6,35.335196972460146
vid41,0431.jpg,29.8,30.62671996980024
vid41,0433.jpg,29.3,24.057750954812498
vid41,0435.jpg,29.4,24.025524456859138
vid41,0437.jpg,29.6,30.90477408836646
vid41,0439.jpg,29.7,30.958117573208046
vid41,0441.jpg,29.2,30.75526366272097
vid41,0443.jpg,29.3,30.76443291751783
vid41,0445.jpg,29.0,29.951161768361963
vid41,0447.jpg,29.0,29.29091593441685
vid41,0449.jpg,28.9,24.28342070462952
vid41,0451.jpg,28.9,29.3950969919003
vid41,0453.jpg,28.7,29.272557728659685
vid41,0455.jpg,28.6,25.84295023666509
vid41,0457.jpg,28.3,30.875558842357552
vid41,0459.jpg,28.4,30.69099610416995
vid41,0461.jpg,28.0,26.77562285610023
vid41,0463.jpg,27.9,28.502878974661975
vid41,0465.jpg,27.8,28.561638983652927
vid41,0467.jpg,27.5,30.660164668486203
vid41,0469.jpg,27.4,25.759928256293957
vid41,0471.jpg,27.2,25.458495216676475
vid41,0473.jpg,26.8,29.445556274147293
vid41,0475.jpg,26.4,23.26196880078786
vid41,0477.jpg,26.3,23.75386724946713
vid41,0479.jpg,26.0,23.762816072260925
vid41,0481.jpg,25.5,25.478102908218926
vid41,0483.jpg,25.2,25.031591343324486
vid41,0485.jpg,24.9,23.413316861971328
vid41,0487.jpg,24.5,24.062695791169602
vid41,0489.jpg,23.9,22.9322605216934
vid41,0491.jpg,23.4,23.6307426911619
vid41,0493.jpg,20.5,36.64721424901125
vid41,0495.jpg,19.2,19.659838198760312
vid41,0497.jpg,20.2,19.816307924616414
vid41,0499.jpg,22.8,16.70241785685057
vid41,0501.jpg,19.2,15.95526120833098
vid41,0503.jpg,22.7,19.46389353949882
vid41,0505.jpg,21.5,17.128029534566938
vid41,0507.jpg,20.2,16.670996221053574
vid41,0509.jpg,18.8,18.709315728493973
vid41,0515.jpg,19.2,16.47487179547186
vid41,0517.jpg,19.7,19.25775637429795
vid41,0519.jpg,20.4,20.606993189530126
vid41,0521.jpg,25.5,24.827767068872806
vid41,0523.jpg,27.0,29.855225594137945
vid41,0525.jpg,28.5,28.343111739395624
vid41,0527.jpg,29.7,26.71504824827997
vid41,0529.jpg,28.2,26.114496573428255
vid41,0531.jpg,27.0,26.650583511842033
vid41,0533.jpg,26.0,23.189620730142483
vid41,0555.jpg,26.6,24.532965040595442
vid41,0557.jpg,26.7,24.201878965362656
vid41,0559.jpg,26.1,24.68701890036353
vid41,0561.jpg,27.0,23.864607429949714
vid41,0563.jpg,27.5,24.02596560571809
vid41,0565.jpg,27.8,24.198651374715247
vid41,0567.jpg,27.1,24.36714918487896
vid41,0569.jpg,28.5,27.477329413049617
vid41,0571.jpg,27.7,25.304146233447863
vid41,0573.jpg,28.0,25.452629231012644
vid41,0575.jpg,28.5,25.58117455219818
vid41,0577.jpg,27.8,23.188573637961177
vid41,0579.jpg,28.1,24.229264476017065
vid41,0581.jpg,27.7,24.175847821090528
vid41,0583.jpg,28.1,25.092253695481457
vid41,0585.jpg,28.0,24.58285237350475
vid41,0587.jpg,27.8,24.190327176264862
vid41,0589.jpg,27.9,25.35099197836316
vid41,0591.jpg,28.0,25.36817954584301
vid41,0593.jpg,27.7,23.492768432234325
vid41,0595.jpg,28.0,25.665558993434164
vid41,0597.jpg,27.7,27.119223844694748
vid41,0599.jpg,28.1,25.944679894287855
vid41,0601.jpg,27.9,23.34491410231456
vid41,0617.jpg,28.5,23.701786569154628
vid41,0619.jpg,28.9,23.167615886693817
vid41,0621.jpg,28.5,23.10623919991955
vid41,0623.jpg,28.4,26.439543923714282
vid41,0625.jpg,28.2,26.48453480056492
vid41,0627.jpg,28.7,27.309754359669938
vid41,0629.jpg,28.6,23.59583627588918
vid41,0631.jpg,27.7,25.240079721989183
vid41,0633.jpg,28.6,25.37213680510042
vid41,0683.jpg,11.7,13.908842078339955
vid41,0685.jpg,12.1,12.645640954566051
vid41,0687.jpg,12.2,12.771656655208105
vid41,0689.jpg,12.3,12.912454049195944
vid41,0691.jpg,10.6,11.832117323893403
vid41,0693.jpg,10.8,11.34320886289914
vid41,0695.jpg,11.3,13.403627609370863
vid41,0701.jpg,47.8,37.232677456042424
vid41,0739.jpg,12.7,13.684751729093534
vid41,0741.jpg,12.6,13.188457916389318
vid41,0743.jpg,11.8,12.164685760463897
vid41,0745.jpg,12.4,13.428845049891041
vid41,0747.jpg,12.4,12.772076571104842
vid41,0749.jpg,11.8,13.622193358519606
vid41,0751.jpg,12.6,12.164591732009871
vid41,0753.jpg,12.2,12.641143238814275
vid41,0755.jpg,12.1,13.240023332035912
vid41,0757.jpg,12.1,11.87755703809982
vid41,0759.jpg,12.1,11.619336103618728
vid41,0761.jpg,12.2,11.687494995878644
vid41,0763.jpg,11.9,11.709624190259804
vid41,0765.jpg,12.1,11.962056585279333
vid41,0767.jpg,11.7,11.818442996752816
vid41,0769.jpg,11.7,12.342836613086817
vid41,0771.jpg,11.8,12.355669183284398
vid41,0773.jpg,12.1,11.648388514489891
vid41,0775.jpg,12.3,11.28313979009471
vid41,0777.jpg,11.7,11.517642926009298
vid41,0779.jpg,11.8,12.063160778574511
vid41,0781.jpg,11.9,12.874620428042236
vid41,0865.jpg,12.1,12.718728963187942
vid41,0867.jpg,10.8,16.156368312501893
vid41,0869.jpg,11.2,9.467144514107614
vid41,0871.jpg,10.2,17.94008110353474
vid41,1561.jpg,8.5,8.60092112310776
vid41,1743.jpg,6.3,7.01481612117383
vid41,1745.jpg,6.6,7.924523827104172
vid41,1747.jpg,6.3,6.84299389762254
vid41,1749.jpg,7.9,8.312558321462788
vid41,1751.jpg,8.0,7.748325718489838
vid41,1755.jpg,7.9,7.96881925749436
vid41,1757.jpg,7.5,8.454053265027678
vid41,1759.jpg,7.1,8.225980056169831
vid41,1761.jpg,7.1,8.37546220633133
vid41,1763.jpg,7.1,8.112353339360546
vid41,1765.jpg,6.9,7.820692957579888
vid41,2035.jpg,17.2,20.421099301265002
vid41,2037.jpg,16.9,21.594730137038304
vid41,2039.jpg,16.1,24.53918585479005
vid41,2041.jpg,16.8,21.14905967285733
vid41,2043.jpg,17.1,22.709272635791542
vid41,2045.jpg,18.5,26.521476378213475
vid41,2047.jpg,17.3,21.15891480331339
vid41,2049.jpg,18.2,22.950586437671937
vid41,2051.jpg,17.3,25.323619740352086
vid41,2053.jpg,18.9,25.03690079881799
vid41,2177.jpg,13.8,13.233832479902327
vid41,2179.jpg,14.5,22.465811116400424
vid41,2181.jpg,17.5,22.857011478525937
vid41,2183.jpg,16.9,27.2737099222244
vid41,2185.jpg,13.4,24.112211864331414
vid41,2187.jpg,15.0,12.700865471777583
vid41,2189.jpg,13.5,14.323363543580147
vid41,2191.jpg,14.4,15.358336950305668
vid41,2205.jpg,10.1,10.829265434680647
vid41,2207.jpg,9.8,9.380101471335708
vid41,2209.jpg,9.1,9.287539028565735
vid41,2211.jpg,8.7,9.413796875240637
vid41,2213.jpg,8.9,9.935305786914519
vid41,2215.jpg,8.6,9.502407369884766
vid41,2217.jpg,8.5,9.527392961130541
vid41,2219.jpg,8.8,7.864174509690548
vid41,2229.jpg,11.4,12.834917308616124
vid41,2231.jpg,12.3,14.417558330221695
vid41,2233.jpg,12.3,15.543330230736894
vid41,2235.jpg,12.7,14.373159036317404
vid41,2289.jpg,9.8,8.622306806200237
vid41,2291.jpg,9.3,13.792928188079689
vid41,2293.jpg,10.0,13.628300514800959
vid41,2295.jpg,8.1,8.601985248006155
vid41,2315.jpg,8.2,7.7148754416019525
vid41,2317.jpg,8.3,9.557958958085235
vid41,2319.jpg,9.2,8.98633487643432
vid41,3425.jpg,24.5,24.349066499657162
vid41,3427.jpg,23.0,24.616643878465947
vid41,3429.jpg,23.4,25.438734652867012
vid41,3431.jpg,25.5,20.103209691976808
vid41,3553.jpg,23.9,19.27803497953794
vid41,3555.jpg,24.3,20.540406038366186
vid41,3557.jpg,25.0,23.51687162001404
vid41,3559.jpg,25.7,26.168339169802792
vid41,3561.jpg,26.2,25.889306795061806
vid41,3563.jpg,26.6,28.492703413962047
vid41,3565.jpg,26.5,28.463377605308374
vid41,3567.jpg,26.3,27.738881768282923
vid41,3569.jpg,26.0,21.567667680371088
vid41,3571.jpg,25.7,26.827333202520812
vid41,3573.jpg,26.3,26.00865205704868
vid41,3575.jpg,28.3,26.18995112557868
vid41,3577.jpg,30.1,25.31147774696663
vid41,3579.jpg,26.5,22.239901895050608
vid41,3595.jpg,4.9,3.5453051408778524
vid41,3597.jpg,4.0,4.470382193369449
vid41,3599.jpg,4.2,5.314665725682051
